language,model_id,sentence_id,run_number,input_text,output_file,asr_transcript,normalized_reference,normalized_transcript,wer,cer,success,error_message
arabic,facebook/mms-tts-ara,ar_01,1,مرحباً بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_01_run_01.wav,ما حباً بكم في انفينية كيف يوم كنون مصعدة كم اليومين,مرحبا بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,ما حبا بكم في انفينية كيف يوم كنون مصعدة كم اليومين,1.0,0.3125,True,
arabic,facebook/mms-tts-ara,ar_01,2,مرحباً بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_01_run_02.wav,ما حباً بكم في انفينية كيف يمكنني مساعدةكم اليومي,مرحبا بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,ما حبا بكم في انفينية كيف يمكنني مساعدةكم اليومي,0.625,0.1458,True,
arabic,facebook/mms-tts-ara,ar_01,3,مرحباً بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_01_run_03.wav,ما حباً بكم في انفينية كيف يمكنني مصعدةكم اليومين,مرحبا بكم في إنفينيا، كيف يمكنني مساعدتكم اليوم؟,ما حبا بكم في انفينية كيف يمكنني مصعدةكم اليومين,0.625,0.2083,True,
arabic,facebook/mms-tts-ara,ar_02,1,تم تأكيد موعدك صباح الغد.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_02_run_01.wav,كم تأكيد موري دك السباح الغان,تم تأكيد موعدك صباح الغد,كم تأكيد موري دك السباح الغان,1.0,0.375,True,
arabic,facebook/mms-tts-ara,ar_02,2,تم تأكيد موعدك صباح الغد.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_02_run_02.wav,ام تأكيد موري دك الصباح الغان,تم تأكيد موعدك صباح الغد,ام تأكيد موري دك الصباح الغان,1.0,0.3333,True,
arabic,facebook/mms-tts-ara,ar_02,3,تم تأكيد موعدك صباح الغد.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_02_run_03.wav,تم تأكيد موري دك الصباح الغان,تم تأكيد موعدك صباح الغد,تم تأكيد موري دك الصباح الغان,0.8,0.2917,True,
arabic,facebook/mms-tts-ara,ar_03,1,قدّم راتان جيوتي دراسة هندسة الصوت.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_03_run_01.wav,قدرة نجيوتي دراسة تحون دسة تصوط,قدم راتان جيوتي دراسة هندسة الصوت,قدرة نجيوتي دراسة تحون دسة تصوط,1.0,0.3939,True,
arabic,facebook/mms-tts-ara,ar_03,2,قدّم راتان جيوتي دراسة هندسة الصوت.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_03_run_02.wav,خدرتاً وجيوتي دراسة هندسة الساو,قدم راتان جيوتي دراسة هندسة الصوت,خدرتا وجيوتي دراسة هندسة الساو,0.6667,0.2727,True,
arabic,facebook/mms-tts-ara,ar_03,3,قدّم راتان جيوتي دراسة هندسة الصوت.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_03_run_03.wav,خدارة نجيوتي دراسة هندسة السوء,قدم راتان جيوتي دراسة هندسة الصوت,خدارة نجيوتي دراسة هندسة السوء,0.6667,0.2727,True,
arabic,facebook/mms-tts-ara,ar_04,1,تم استلام دفعتك بقيمة ألفين وأربعمائة وخمسين روبية.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_04_run_01.wav,تمستلامي لفعتك بقيمةً الفين وأربع ما اتن وخمسين ربياً لله.,تم استلام دفعتك بقيمة ألفين وأربعمائة وخمسين روبية,تمستلامي لفعتك بقيمة الفين وأربع ما اتن وخمسين ربيا لله,1.125,0.32,True,
arabic,facebook/mms-tts-ara,ar_04,2,تم استلام دفعتك بقيمة ألفين وأربعمائة وخمسين روبية.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_04_run_02.wav,فمستال من دفعتك بقيمةً الفين واربع ما اتن وخمسين روبياً له,تم استلام دفعتك بقيمة ألفين وأربعمائة وخمسين روبية,فمستال من دفعتك بقيمة الفين واربع ما اتن وخمسين روبيا له,1.0,0.34,True,
arabic,facebook/mms-tts-ara,ar_04,3,تم استلام دفعتك بقيمة ألفين وأربعمائة وخمسين روبية.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_04_run_03.wav,فمستلام دفعتك بقيمةً الفين واربعمائةٍ وخمسين روبياً,تم استلام دفعتك بقيمة ألفين وأربعمائة وخمسين روبية,فمستلام دفعتك بقيمة الفين واربعمائة وخمسين روبيا,0.625,0.12,True,
arabic,facebook/mms-tts-ara,ar_05,1,قبل إكمال طلبك، يرجى التحقق من عنوان بريدك الإلكتروني ورقم حسابك.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_05_run_01.wav,قبع كمالي طلبكا يرجت حقكم عيواني بريدك الإلكتروني ورقم حسابلا,قبل إكمال طلبك، يرجى التحقق من عنوان بريدك الإلكتروني ورقم حسابك,قبع كمالي طلبكا يرجت حقكم عيواني بريدك الإلكتروني ورقم حسابلا,0.7273,0.2344,True,
arabic,facebook/mms-tts-ara,ar_05,2,قبل إكمال طلبك، يرجى التحقق من عنوان بريدك الإلكتروني ورقم حسابك.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_05_run_02.wav,قب بإكمالي طلبكا يرجت حقكم عيواني بريدك الإلكتروني ورقم حسابه,قبل إكمال طلبك، يرجى التحقق من عنوان بريدك الإلكتروني ورقم حسابك,قب بإكمالي طلبكا يرجت حقكم عيواني بريدك الإلكتروني ورقم حسابه,0.7273,0.2188,True,
arabic,facebook/mms-tts-ara,ar_05,3,قبل إكمال طلبك، يرجى التحقق من عنوان بريدك الإلكتروني ورقم حسابك.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\arabic\ar_05_run_03.wav,قبأ كمالي طالبكا يرجت حق من عيواني بريدك الإلكتروني ورقم حسبة له,قبل إكمال طلبك، يرجى التحقق من عنوان بريدك الإلكتروني ورقم حسابك,قبأ كمالي طالبكا يرجت حق من عيواني بريدك الإلكتروني ورقم حسبة له,0.7273,0.2656,True,
hindi,facebook/mms-tts-hin,hi_01,1,"नमस्ते, इन्फिनिया में आपका स्वागत है। मैं आपकी कैसे सहायता कर सकता हूँ?",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_01_run_01.wav,"Namaste insiniya me rapka suagat hai, meager ki kese saheta kar sattang.",नमस्ते इन्फिनिया में आपका स्वागत है। मैं आपकी कैसे सहायता कर सकता हूँ,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_01,2,"नमस्ते, इन्फिनिया में आपका स्वागत है। मैं आपकी कैसे सहायता कर सकता हूँ?",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_01_run_02.wav,"Namaste, insinia mehab ka suagat hai mehab ki ka ses saheta ka satha hun.",नमस्ते इन्फिनिया में आपका स्वागत है। मैं आपकी कैसे सहायता कर सकता हूँ,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_01,3,"नमस्ते, इन्फिनिया में आपका स्वागत है। मैं आपकी कैसे सहायता कर सकता हूँ?",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_01_run_03.wav,"Namaste in finia me abka suagud hai, me abki kaise su hai da karsakta hun.",नमस्ते इन्फिनिया में आपका स्वागत है। मैं आपकी कैसे सहायता कर सकता हूँ,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_02,1,आपकी बैठक कल सुबह के लिए तय हो गई है।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_02_run_01.wav,Your back-up kansubha keli hai ho ghi hai.,आपकी बैठक कल सुबह के लिए तय हो गई है।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_02,2,आपकी बैठक कल सुबह के लिए तय हो गई है।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_02_run_02.wav,your back at call Subha for Subha.,आपकी बैठक कल सुबह के लिए तय हो गई है।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_02,3,आपकी बैठक कल सुबह के लिए तय हो गई है।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_02_run_03.wav,your back at Karsuba for taiho ghi hai.,आपकी बैठक कल सुबह के लिए तय हो गई है।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_03,1,रतन ज्योति ने वॉइस इंजीनियरिंग केस स्टडी जमा की।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_03_run_01.wav,Wratham Jyoti Nevas Indian Yerheen kesteri Jamaaki,रतन ज्योति ने वॉइस इंजीनियरिंग केस स्टडी जमा की।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_03,2,रतन ज्योति ने वॉइस इंजीनियरिंग केस स्टडी जमा की।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_03_run_02.wav,Wrathan Jothi Nevais Indiani Rind KS-3 Jamaaki,रतन ज्योति ने वॉइस इंजीनियरिंग केस स्टडी जमा की।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_03,3,रतन ज्योति ने वॉइस इंजीनियरिंग केस स्टडी जमा की।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_03_run_03.wav,Wrathan Jothi Nevas Hinji Niren K. Stray Jamaaki,रतन ज्योति ने वॉइस इंजीनियरिंग केस स्टडी जमा की।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_04,1,आपका दो हजार चार सौ पचास रुपये का भुगतान प्राप्त हो गया है।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_04_run_01.wav,2-445 rupee Kabuktan Prath has arrived.,आपका दो हजार चार सौ पचास रुपये का भुगतान प्राप्त हो गया है।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_04,2,आपका दो हजार चार सौ पचास रुपये का भुगतान प्राप्त हो गया है।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_04_run_02.wav,2-4500 rupee kabuktaan praapth hooghi hai.,आपका दो हजार चार सौ पचास रुपये का भुगतान प्राप्त हो गया है।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_04,3,आपका दो हजार चार सौ पचास रुपये का भुगतान प्राप्त हो गया है।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_04_run_03.wav,2-445 rupee Kabuktan Prap has been completed.,आपका दो हजार चार सौ पचास रुपये का भुगतान प्राप्त हो गया है।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_05,1,आपकी ऑनलाइन मीटिंग कल सुबह दस बजे निर्धारित है।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_05_run_01.wav,Akshay khan Line Migen Kalsuvaara 10 bajeenir Dhharit hai,आपकी ऑनलाइन मीटिंग कल सुबह दस बजे निर्धारित है।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_05,2,आपकी ऑनलाइन मीटिंग कल सुबह दस बजे निर्धारित है।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_05_run_02.wav,Your online making cansoba das bajaya nirh harik hai.,आपकी ऑनलाइन मीटिंग कल सुबह दस बजे निर्धारित है।,,1.0,1.0,True,
hindi,facebook/mms-tts-hin,hi_05,3,आपकी ऑनलाइन मीटिंग कल सुबह दस बजे निर्धारित है।,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\hindi\hi_05_run_03.wav,Your online makin kalsuba das bajaya nilharith hai.,आपकी ऑनलाइन मीटिंग कल सुबह दस बजे निर्धारित है।,,1.0,1.0,True,
english,facebook/mms-tts-eng,en_01,1,"Hello, welcome to Infinia. How can I help you today?",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\en_01_run_01.wav,"Hello, welcome to Infinia. How can I help you today?",hello welcome to infinia how can i help you today,hello welcome to infinia how can i help you today,0.0,0.0,True,
english,facebook/mms-tts-eng,en_02,1,Your appointment is confirmed for tomorrow morning.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\en_02_run_01.wav,Your appointment is confirmed for tomorrow morning.,your appointment is confirmed for tomorrow morning,your appointment is confirmed for tomorrow morning,0.0,0.0,True,
english,facebook/mms-tts-eng,en_03,1,Ratan Jyoti submitted the voice engineering case study.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\en_03_run_01.wav,Written geodice submitted the voice in in your in case 2E.,ratan jyoti submitted the voice engineering case study,written geodice submitted the voice in in your in case 2e,0.875,0.4074,True,
english,facebook/mms-tts-eng,en_04,1,Your payment of two thousand four hundred fifty rupees was received.,E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\en_04_run_01.wav,"Your payment of 2,450 rupees was received.",your payment of two thousand four hundred fifty rupees was received,your payment of 2 450 rupees was received,0.4545,0.4478,True,
english,facebook/mms-tts-eng,en_05,1,"Before completing your request, please verify your registered email address and account number.",E:\NEW_genai_projects\TTS_voice\infinia-voice-case-study\outputs\mms\english\en_05_run_01.wav,"Before completing your request, please verify your registered email address and account number.",before completing your request please verify your registered email address and account number,before completing your request please verify your registered email address and account number,0.0,0.0,True,
